date,JOHNSON CONTROLS INTERNATIONAL PLC,ALPHABET INC,AMGEN INC,AUTOZONE INC,BALL CORP,CHIPOTLE MEXICAN GRILL INC,COCA-COLA,EXXON MOBIL CORP,INTUITIVE SURGICAL INC,iShares Gold Trust,iShares Core S&P 500,iShares iBoxx $ Investment Grade Corporate Bond,iShares TIPS Bond,iShares Core S&P Mid-Cap ETF,iShares MSCI EAFE,iShares Russell 1000 Growth ETF,iShares Russell 1000 Growth ETF,iShares Core S&P Small-Cap ETF,iShares National Muni Bond ETF,Shares J.P. Morgan USD Emerging Markets Bond,iShares iBoxx $ High Yield Corporate Bond ETF,iShares MBS ETF ,iShares 3-7 Year Treasury Bond,iShares 1-3 Year Credit Bond,KELLOGG,MARATHON PETROLEUM CORP,NEWMONT MINING CORP,PAYPAL HOLDINGS INC,iShares 20+ Year Treasury Bond,iShares Core MSCI Emerging Markets
2019-01-30,32.243599,1089.060059,179.404236,843.169983,50.752544,532.97998,46.390076,68.985931,508.480011,12.63,263.521179,111.913803,108.510368,179.404861,60.643833,115.763542,139.356232,74.92057,106.568863,103.167969,80.692039,102.310234,119.247635,81.999512,55.64418,62.897514,32.387676,92.419998,118.1521,49.676956
2019-01-31,32.9062,1116.369995,181.58783,847.340027,51.843361,529.609985,46.651779,69.930687,523.640015,12.64,265.791992,112.696564,109.119484,180.024109,60.672871,116.474884,140.958572,75.531204,106.803047,103.950859,80.891632,102.582504,119.580803,82.068039,56.779579,63.792881,32.771988,88.760002,119.168221,50.015682
2019-02-01,32.399506,1110.75,181.549026,849.909973,51.595444,527.200012,47.204273,72.45002,524.650024,12.62,265.938812,112.428062,108.736336,180.63353,60.653511,116.874397,140.869537,75.462257,106.670052,104.096558,80.852478,102.328987,119.158638,81.971924,56.481297,63.032303,32.512581,90.010002,118.448471,49.735023
2019-02-04,32.954926,1132.800049,180.685272,869.440002,51.545864,527.919983,47.737385,71.400307,522.429993,12.56,267.847473,112.272987,108.520187,182.461792,60.876148,117.273918,142.382889,76.427444,106.689606,103.741875,81.043449,102.211967,119.030998,81.971924,56.692982,63.455914,32.820026,91.660004,117.919693,49.831806
2019-02-05,33.169292,1145.98999,182.752426,869.419983,52.55735,526.650024,47.747074,72.135101,522.890015,12.59,268.992645,112.728546,108.667564,183.140015,61.350456,117.449318,143.431366,76.486542,106.699371,104.432083,81.32988,102.338745,119.148811,81.971924,56.904667,64.678627,32.781593,92.269997,118.458275,50.460869
2019-02-06,33.247253,1115.22998,185.130112,868.080017,52.765591,526.059998,47.747074,71.82019,521.950012,12.51,268.591339,112.515305,108.598785,183.051544,61.040707,117.42009,143.065399,76.378212,106.76783,103.895241,81.253494,102.377747,119.227364,82.011147,56.923908,64.380173,32.647087,92.25,118.517014,49.81245
2019-02-07,33.023132,1098.709961,178.792847,878.77002,52.815174,585.780029,47.902161,71.266701,509.359985,12.55,266.066071,112.495911,108.765793,182.166901,60.227604,116.504112,141.611389,75.698639,106.963417,103.703529,80.976601,102.485008,119.443352,82.07,53.729401,61.328201,32.406895,90.849998,119.3004,49.328548
2019-02-08,33.130322,1095.060059,180.51059,874.080017,53.449833,582.77002,47.979702,71.382492,517.049988,12.59,266.35965,112.777,108.814911,182.029282,60.034008,116.523598,141.918015,75.659233,107.080772,103.24337,80.957504,102.553253,119.531708,82.099419,53.267544,60.384693,32.512581,91.870003,119.809624,49.067245
2019-02-11,33.198528,1095.01001,180.306778,887.909973,53.400246,603.359985,48.086327,71.498276,529.460022,12.53,266.50647,112.524979,108.588959,183.19899,59.975925,116.718491,141.957596,76.279716,107.090553,103.003716,80.995712,102.504509,119.423714,82.07,53.565823,59.421921,32.330032,92.690002,119.339584,48.902718
2019-02-12,33.72472,1121.369995,182.868881,890.900024,54.441479,593.659973,48.134785,72.752632,539.710022,12.56,269.971436,112.680084,108.608627,185.105881,60.672871,118.082703,143.906143,77.31385,107.188339,103.387177,81.387161,102.465508,119.31572,82.060188,54.393318,59.566338,32.080235,94.379997,119.036011,49.338226
